iter	Passed	Remaining
0	24	4919
1	48	4786
2	71	4717
3	94	4627
4	116	4531
5	139	4510
6	160	4438
7	182	4375
8	205	4357
9	227	4321
10	249	4293
11	273	4281
12	294	4236
13	316	4203
14	339	4182
15	360	4146
16	382	4120
17	405	4102
18	427	4073
19	450	4057
20	473	4033
21	494	4001
22	516	3977
23	539	3957
24	560	3924
25	583	3903
26	605	3881
27	627	3855
28	650	3833
29	672	3810
30	694	3783
31	716	3762
32	738	3739
33	761	3715
34	783	3692
35	805	3671
36	828	3648
37	849	3623
38	871	3598
39	893	3575
40	915	3551
41	938	3530
42	959	3505
43	982	3482
44	1006	3465
45	1029	3446
46	1052	3427
47	1074	3401
48	1097	3381
49	1118	3356
50	1140	3331
51	1163	3310
52	1185	3288
53	1207	3265
54	1230	3243
55	1253	3223
56	1275	3200
57	1298	3178
58	1320	3155
59	1343	3135
60	1365	3111
61	1386	3087
62	1409	3064
63	1430	3039
64	1452	3017
65	1473	2992
66	1495	2969
67	1518	2948
68	1540	2925
69	1562	2902
70	1584	2879
71	1607	2858
72	1629	2834
73	1651	2811
74	1673	2789
75	1694	2765
76	1716	2742
77	1740	2721
78	1761	2698
79	1784	2676
80	1806	2654
81	1828	2630
82	1851	2609
83	1873	2586
84	1894	2563
85	1917	2541
86	1939	2518
87	1961	2496
88	1983	2473
89	2006	2451
90	2028	2429
91	2051	2407
92	2072	2384
93	2094	2361
94	2116	2339
95	2138	2316
96	2160	2293
97	2182	2271
98	2204	2248
99	2225	2225
100	2248	2204
101	2270	2181
102	2292	2159
103	2316	2138
104	2337	2115
105	2360	2092
106	2382	2070
107	2402	2046
108	2424	2024
109	2446	2002
110	2468	1979
111	2491	1957
112	2516	1937
113	2537	1914
114	2559	1891
115	2581	1869
116	2602	1846
117	2625	1824
118	2648	1802
119	2669	1779
120	2691	1757
121	2713	1734
122	2734	1711
123	2757	1689
124	2779	1667
125	2802	1645
126	2825	1624
127	2849	1602
128	2872	1581
129	2894	1558
130	2915	1535
131	2939	1514
132	2962	1492
133	2984	1470
134	3007	1447
135	3030	1426
136	3051	1403
137	3074	1381
138	3096	1358
139	3117	1336
140	3139	1313
141	3162	1291
142	3183	1268
143	3207	1247
144	3229	1225
145	3251	1202
146	3273	1180
147	3295	1157
148	3318	1135
149	3339	1113
150	3361	1090
151	3385	1069
152	3406	1046
153	3428	1024
154	3451	1002
155	3473	979
156	3495	957
157	3517	935
158	3539	912
159	3560	890
160	3583	868
161	3604	845
162	3627	823
163	3649	801
164	3671	778
165	3693	756
166	3715	734
167	3737	711
168	3760	689
169	3780	667
170	3802	644
171	3826	622
172	3847	600
173	3868	578
174	3892	556
175	3913	533
176	3934	511
177	3957	489
178	3979	466
179	4001	444
180	4025	422
181	4046	400
182	4067	377
183	4090	355
184	4112	333
185	4133	311
186	4156	288
187	4178	266
188	4200	244
189	4222	222
190	4245	200
191	4266	177
192	4288	155
193	4310	133
194	4333	111
195	4354	88
196	4376	66
197	4399	44
198	4420	22
199	4443	0
