feature,importance,importance_pct,cumulative_pct
num__initial_quantity,0.10585303,10.585303,10.585303
cat__listing_type_id_free,0.060420137,6.0420136,16.627317
cat__buying_mode_classified,0.040545948,4.054595,20.681911
num__available_quantity,0.016828937,1.6828938,22.364805
text__vinilo,0.015995266,1.5995266,23.964333
num__automatic_relist,0.015234706,1.5234706,25.487803
num__sold_quantity,0.014776676,1.4776676,26.96547
num__free_shipping,0.011505431,1.1505431,28.116013
num__has_nuevo,0.011299025,1.1299025,29.245914
num__has_antiguo,0.011061097,1.1061096,30.352024
num__has_dragged_bids,0.010421736,1.0421736,31.394197
text__antigua,0.0096794255,0.96794254,32.36214
cat__category_id_MLA15328,0.0081648035,0.81648034,33.17862
text__digital,0.00779214,0.77921396,33.957832
num__num_attributes,0.0075375778,0.7537578,34.71159
text__impecable,0.007209765,0.7209765,35.432568
num__base_price,0.0071712686,0.71712685,36.149696
text__kit,0.006557369,0.6557369,36.805435
cat__category_id_MLA85960,0.006384741,0.6384741,37.44391
cat__category_id_MLA2038,0.006287621,0.62876207,38.07267
text__antiguo,0.006237758,0.6237758,38.696445
text__anal,0.006159574,0.6159574,39.312405
cat__listing_type_id_bronze,0.0058366805,0.58366805,39.896072
cat__category_id_MLA41287,0.0057492545,0.5749254,40.470997
text__lp,0.0057379906,0.5737991,41.044796
cat__category_id_MLA1383,0.0051774853,0.51774853,41.562546
cat__category_id_MLA3936,0.00507208,0.507208,42.069756
num__price,0.0050460673,0.5046067,42.574364
num__has_original,0.00502919,0.50291896,43.077282
text__revista,0.004989321,0.4989321,43.576214
text__mint,0.004977481,0.4977481,44.073963
text__freno,0.004956131,0.4956131,44.569576
cat__category_id_MLA2044,0.004940351,0.4940351,45.06361
text__trasero,0.004862058,0.4862058,45.549816
num__has_usado,0.004712935,0.4712935,46.02111
cat__listing_type_id_silver,0.0047066337,0.47066337,46.491776
num__has_warranty,0.0046989815,0.46989816,46.961674
text__delantero,0.004484171,0.4484171,47.41009
text__gel,0.004303584,0.43035838,47.84045
text__xintel,0.0042804233,0.42804232,48.268494
cat__category_id_MLA41269,0.004270309,0.42703092,48.695526
text__faro,0.004208595,0.42085952,49.116386
cat__buying_mode_buy_it_now,0.0042066793,0.42066792,49.537056
text__estado,0.0041069468,0.4106947,49.94775
cat__category_id_MLA1289,0.00410494,0.41049403,50.358246
text__motos,0.00407194,0.40719402,50.765438
text__souvenirs,0.004037503,0.4037503,51.16919
text__anillo,0.004016809,0.40168092,51.57087
text__antiguas,0.003990368,0.3990368,51.969906
cat__category_id_MLA2032,0.003979104,0.39791042,52.367817
text__2015,0.0039578923,0.39578924,52.763607
text__tomos,0.0039301394,0.39301392,53.15662
text__set,0.003902276,0.39022762,53.54685
text__permuto,0.0038653119,0.38653117,53.93338
text__lote,0.0038395699,0.383957,54.317337
text__usada,0.0038038325,0.38038325,54.69772
cat__category_id_MLA6651,0.0038029216,0.38029218,55.07801
text__campera,0.003744985,0.3744985,55.45251
text__funda,0.0037359106,0.37359107,55.826103
cat__category_id_MLA6087,0.0036997627,0.36997628,56.19608
text__sex,0.0036186276,0.36186275,56.55794
text__porta,0.0036150145,0.36150146,56.91944
cat__category_id_MLA10127,0.0036092193,0.36092192,57.280365
text__vhs,0.0036088368,0.36088368,57.641247
text__ford,0.0035789986,0.35789987,57.999146
text__usa,0.0035388584,0.35388583,58.35303
cat__category_id_MLA34370,0.00353368,0.35336798,58.706398
text__cm,0.0035083902,0.35083902,59.057236
text__ml,0.0034917796,0.34917796,59.406414
text__nuevo,0.0034751452,0.3475145,59.75393
cat__category_id_MLA35923,0.0034556277,0.34556276,60.09949
text__renault,0.0034160202,0.34160203,60.441093
text__the,0.0034072723,0.34072724,60.781822
cat__category_id_MLA3438,0.0033997581,0.3399758,61.1218
text__aros,0.0033373407,0.33373407,61.455532
cat__category_id_MLA41064,0.0032718517,0.32718515,61.78272
text__stock,0.0032663853,0.32663852,62.109356
text__aires,0.0032558201,0.32558203,62.434937
text__vino,0.0031639803,0.31639802,62.751335
text__pulsera,0.003159611,0.3159611,63.067295
text__cable,0.0031122272,0.31122273,63.378517
cat__category_id_MLA41260,0.003086924,0.3086924,63.68721
cat__category_id_MLA41174,0.0030625744,0.30625746,63.99347
text__delantera,0.0030393323,0.30393323,64.2974
cat__category_id_MLA34199,0.0030349614,0.30349615,64.6009
cat__category_id_MLA3057,0.003031855,0.3031855,64.90408
cat__category_id_MLA5500,0.0029897513,0.29897514,65.20306
cat__category_id_MLA41083,0.0029827205,0.29827204,65.50133
cat__category_id_MLA32167,0.0029579152,0.2957915,65.79712
